Age,Date,Census21 population,ONS population,NIMS population,First doses by midpoint,Second doses completed 21 days before midpoint,Third dose completed 21 days before midpoint
Under 18 ,wk 47-50,"11,631,640","12,120,136","9,437,192","1,891,746","109,251",3538
Under 18 ,wk 48-51,"11,631,640","12,120,136","9,437,192","1,938,670","165,846",4800
Under 18 ,wk 49-52,"11,631,640","12,120,136","9,437,192","1,998,102","220,544",6757
Under 18 ,wk 50-1,"11,631,640","12,120,136","9,437,192","2,055,377","304,642",11251
Under 18 ,wk 51-2,"11,631,640","12,120,136","9,437,192","2,108,783","368,749","13,008"
Under 18 ,wk 52-3,"11,631,640","12,120,136","9,437,192","2,154,888","459,451","14,838"
Under 18 ,wk 1-4,"11,631,640","12,120,136","9,437,192","2,191,419","574,464","16,992"
Under 18 ,wk 2-5,"11,631,640","12,120,136","9,437,192","2,232,725","709,310","21,824"
Under 18 ,wk 3-6,"11,631,640","12,120,136","9,437,192","2,264,926","847,951","25,243"
Under 18 ,wk 4-7,"11,631,640","12,120,136","9,437,192","2,290,879","965,599","27,975"
Under 18 ,wk 5-8,"11,631,640","12,120,136","9,437,192","2,310,909","1,061,277","31,197"
Under 18 ,wk 6-9,"11,631,640","12,120,136","9,437,192","2,328,505","1,122,872","36,963"
Under 18 ,wk 7-10,"11,631,640","12,120,136","9,437,192","2,346,224","1,188,266","50,936"
Under 18 ,wk 8-11,"11,631,640","12,120,136","9,437,192","2,362,558","1,245,257","65,035"
